INCIDENT NUMBER,INCIDENT REGION,RESPONSE TYPE,INCIDENT START DATE,INCIDENT START TIME,SUBJECT NUMBER,SUBJECT GENDER,SUBJECT AGE,SUBJECT STATE,SUBJECT COUNTRY,ACTIVITY,SITUATION,LOCATION FOUND LATITUDE,LOCATION FOUND LONGITUDE,LOCATION FOUND ELEVATION,FOUND IN SEARCH AREA,TECHNIQUE,NUMBER OF RANGERS INVOLVED,OTHER AGENCY INVOLVEMENT,LAST KNOWN POINT LAND CLASS,LAST KNOWN POINT STATE LAND NAME,LAST KNOWN POINT COUNTY,LAST KNOWN POINT MUNICIPALITY,INCIDENT ADIRONDACK PARK,INCIDENT CATSKILL PARK,INCIDENT CLOSED DATE,INCIDENT CLOSED TIME,Location
NY-2022-WS-347,4,Search,11/30/2022,12:00 PM,1,M,25,NY,US,Despondent,Missing,42.23613,-73.71002,240,true,Assist/own power,1,true,Private Land,N/A,COLUMBIA,CLAVERACK,false,false,11/30/2022,08:30 PM,POINT (-73.71002 42.23613)
NY-2022-WS-157,6,Search,07/16/2022,12:30 PM,1,F,15,NY,US,Runaway,Missing,43.79376,-75.37727,906,true,Assist/own power,2,true,Other Municipal Land,N/A,LEWIS,WATSON,false,false,07/16/2022,01:45 PM,POINT (-75.37727 43.79376)
NY-2021-WS-324,9,Search,09/28/2021,08:30 AM,1,,,NY,US,Criminal,Missing,42.34851,-79.47735,1065,false,Carry out by foot,2,true,Private Land,NA,CHAUTAUQUA,PORTLAND,false,false,09/28/2021,06:00 PM,POINT (-79.47735 42.34851)
NY-2021-WS-274,7,Search,09/01/2021,01:30 PM,1,M,47,NY,US,Runaway,Missing,42.32027,-76.21881,1524,true,Carry out by foot,3,true,Private Land,NA,TIOGA,BERKSHIRE,false,false,09/02/2021,01:30 PM,POINT (-76.21881 42.32027)
NY-2020-WS-007,5,Search,01/15/2020,03:41 PM,1,,,NY,US,Fishing,Stranded,43.10896,-74.22384,775,true,Airboat,4,true,Forest Preserve,Wilcox Lake Wild Forest,FULTON,MAYFIELD,true,false,01/15/2020,05:40 PM,POINT (-74.22384 43.10896)
NY-2019-WS-055,5,Rescue,04/13/2019,02:05 PM,1,M,62,NY,US,Hiking,Injured,44.17232,-73.80394,2300,true,Carry out by foot,6,true,Forest Preserve,High Peaks,ESSEX,KEENE,true,false,04/13/2019,05:30 PM,POINT (-73.80394 44.17232)
NY-2018-WS-332,8,Search,11/30/2018,07:00 AM,1,M,57,NY,US,Despondent,Missing,43.14792,-77.71059,559,true,Carry out by foot,5,true,Private Land,N/A,MONROE,GATES,false,false,12/02/2018,05:00 PM,POINT (-77.71059 43.14792)
NY-2017-WS-094,7,Search,05/12/2017,09:00 PM,1,M,17,NY,US,Despondent,Missing,42.15601,-76.21823,1385,true,Carry out by foot,3,true,Private Land,N/A,TIOGA,OWEGO,false,false,05/13/2017,12:00 PM,POINT (-76.21823 42.15601)
NY-2016-WS-328,4,Search,10/30/2016,07:46 PM,1,F,16,NY,US,Runaway,Illness,42.25516,-73.793,91,true,Assist/own power,2,true,Private Land,None,COLUMBIA,HUDSON,false,false,10/30/2016,08:00 PM,POINT (-73.793 42.25516)
NY-2014-WS-142,4,Rescue,07/23/2014,03:15 PM,1,F,17,NY,US,Swimming,Injured,42.17681,-74.05535,905,false,Carry out by foot; Technical Rope,2,true,Forest Preserve,Kaaterskill Wild Forest,GREENE,HUNTER,false,true,07/23/2014,04:30 PM,POINT (-74.05535 42.17681)
NY-2012-WS-225,7,Search,10/17/2012,03:00 PM,1,F,27,NY,US,Runaway,Missing,42.42551,-76.50383,754,false,Assist/own power,3,true,Private Land,N/A,TOMPKINS,ITHACA,false,false,10/17/2012,07:00 PM,POINT (-76.50383 42.42551)
NY-2012-WS-080,6,Search,06/08/2012,04:05 AM,1,M,13,NY,US,Runaway,Missing,43.22882,-75.46222,462,false,,6,true,Private Land,N/A,ONEIDA,ANNSVILLE,false,false,06/08/2012,07:00 AM,POINT (-75.46222 43.22882)
NY-2012-WS-059,5,Search,05/24/2012,09:03 PM,1,M,32,NY,US,Hiking,Lost,44.40435,-73.44067,790,false,Assist/own power,2,true,Private Land,Private,ESSEX,WILLSBORO,true,false,05/25/2012,02:15 AM,POINT (-73.44067 44.40435)
NY-2019-WS-013,3,Rescue,01/13/2019,03:50 PM,1,M,23,NJ,US,Camping,Injured,41.99963,-74.38355,4100,true,Assist/own power,14,true,Forest Preserve,Slide Mountain Wilderness,ULSTER,SHANDAKEN,false,true,01/14/2019,12:09 PM,POINT (-74.38355 41.99963)
NY-2021-WS-273,8,Search,09/01/2021,09:00 AM,1,F,19,NY,US,Despondent,Missing,42.35971,-77.08173,1560,false,Carry out by foot,1,true,Private Land,Sugar Hill State Forest,SCHUYLER,ORANGE,false,false,09/01/2021,01:05 PM,POINT (-77.08173 42.35971)
NY-2021-WS-078,5,Rescue,05/07/2021,02:36 PM,2,M,28,NY,US,Boating,Missing,44.39975,-73.39377,95,false,Vehicle/boat evacuation,2,true,Other Municipal Land,N/A,ESSEX,WILLSBORO,true,false,05/08/2021,08:00 AM,POINT (-73.39377 44.39975)
NY-2022-WS-296,4,Rescue,10/15/2022,11:40 AM,1,M,50,NY,US,Hiking,Illness,42.30678,-74.17367,2360,false,Assist/own power,3,true,Forest Preserve,Windham-Blackhead Range Wilderness,GREENE,WINDHAM,false,true,10/15/2022,03:30 PM,POINT (-74.17367 42.30678)
NY-2012-WS-023,9,Search,02/24/2012,01:15 PM,1,M,34,NY,US,Walking,Missing,42.46882,-78.59232,1896,true,Vehicle/boat evacuation,5,true,Private Land,na,CATTARAUGUS,ASHFORD,false,false,02/24/2012,05:00 PM,POINT (-78.59232 42.46882)
NY-2018-WS-336,7,Rescue,12/10/2018,02:00 PM,1,F,28,NY,US,Hiking,Stranded,42.80072,-76.02557,1731,false,Vehicle/boat evacuation,2,false,State Forests,Morgan Hill State Forest,ONONDAGA,FABIUS,false,false,12/10/2018,03:30 PM,POINT (-76.02557 42.80072)
NY-2017-WS-104,5,Rescue,05/27/2017,11:03 PM,1,M,70,NY,US,Hiking,Overdue,44.06799,-73.96567,2316,true,Assist/own power,2,false,Forest Preserve,E. High Peaks Wilderness,ESSEX,NEWCOMB,true,false,05/28/2017,09:00 AM,POINT (-73.96567 44.06799)
NY-2020-WS-253,5,Rescue,08/08/2020,05:40 PM,1,M,29,NY,US,Hiking,Illness,43.70098,-74.3843,3700,true,Assist/own power,6,true,Forest Preserve,West Canada Lakes Wilderness,HAMILTON,INDIAN LAKE,true,false,08/09/2020,11:59 PM,POINT (-74.3843 43.70098)
